Cytokine,FI-LPS/FInoLPS,-log10pvalue,log2fc
EGF,"[1.0390879478827362, 0.9764705882352941, 0.8988970588235293, 1.0919117647058822, 1.0367647058823528]",0.3972917033219219,-0.09115753822452291
Eotaxin,"[1.25, 1.3571428571428572, 0.8571428571428571, 1.1428571428571428, 0.7619047619047619]",0.09340974827526895,0.012391911052363216
FGF-2,"[1.2738095238095237, 1.0681818181818181, 0.896551724137931, 0.8620689655172413, 0.9655172413793104]",0.2573437311671542,0.10273810558925855
FLT-3L,"[1.2666666666666666, 1.0833333333333333, 1.11864406779661, 1.1694915254237288, 1.11864406779661]",0.0620191955901374,0.01895579605443885
Fractalkine,"[1.0198019801980198, 1.3454545454545455, 0.9622641509433961, 0.9056603773584905, 0.7358490566037735]",2.0439628709160367,0.20333389971179736
G-CSF,"[1.481942714819427, 2.0686274509803924, 1.105263157894737, 1.0657894736842106, 1.223684210526316]",0.020660922125573935,-0.008963810753130224
GM-CSF,"[0.8713091922005571, 1.008070432868672, 5.4811764705882355, 6.188823529411765, 4.2564705882352944]",0.98716167392155,0.4741103731123539
GROα,"[1.849009900990099, 1.5612516644474035, 1.0975609756097562, 0.8780487804878049, 1.024390243902439]",1.0806183113553152,1.8323513247340104
IFN-α2,"[1.0714285714285714, 1.0526315789473684, 1.25, 1.125, 1.25]",0.7071099483701931,0.3584551311392646
IFNγ,"[1.1375, 0.9727272727272728, 1.064516129032258, 0.9354838709677419, 1.0]",1.6107417370686232,0.20139803034920073
IL-1α,"[1.2217659137577002, 2.2899543378995433, 0.7012987012987013, 0.7142857142857143, 0.6753246753246753]",0.24358538271284108,0.03145936025699373
IL-1β,"[1.2424242424242424, 1.368421052631579, 0.9069767441860465, 0.8372093023255813, 0.7674418604651162]",0.14455504602839786,0.16417595535880333
IL-1RA,"[8.913151364764268, 1.2291666666666667, 1.05, 1.275, 1.3499999999999999]",0.07247186948703654,0.034912436980520864
IL-2,"[1.0149253731343284, 1.1559633027522935, 0.9878048780487805, 0.951219512195122, 1.0609756097560976]",0.5009548376407936,1.4664776129587425
IL-3,"[0.6384180790960452, 1.0084269662921348, 8.556701030927835, 7.144329896907217, 5.855670103092783]",0.4111274572398963,0.04848415047249284
IL-4,"[1.1326530612244898, 1.359375, 1.1219512195121952, 1.1219512195121952, 0.975609756097561]",1.0580317331962101,2.2143453017225547
IL-5,"[1.0714285714285714, 0.5833333333333334, 1.2857142857142858, 1.0, 1.1428571428571428]",1.0865647579147002,0.19195176112829976
IL-6,"[1.2290786136939984, 1.56385982394951, 10.642857142857142, 12.821428571428571, 7.285714285714286]",0.04833632843289684,0.023846741954367978
IL-7,"[0.6886792452830188, 1.164835164835165, 0.9435483870967741, 0.9919354838709676, 0.8830645161290323]",1.1464342311296296,2.7460090778028556
IL-8,"[1.0676530558895803, 1.308907400366389, 3.1097560975609757, 2.524390243902439, 1.7926829268292683]",0.3526485655246755,-0.09786842926923112
IL-9,"[1.1538461538461537, 1.170731707317073, 1.2923076923076922, 1.3846153846153846, 1.1076923076923075]",1.18831894554577,0.9713525822211995
IL-10,"[1.9980059820538385, 2.1882352941176473, 0.8695652173913043, 0.8260869565217391, 1.0434782608695652]",1.9192913077490121,0.2890537815296527
IL-12p40,"[1.5241935483870968, 1.0588235294117647, 0.923076923076923, 0.9692307692307692, 1.0153846153846153]",0.5868591830601021,0.4699634132648111
IL-12p70,"[0.96875, 0.7884615384615384, 1.1590909090909092, 0.9204545454545455, 0.8863636363636364]",0.378377422872678,0.13506445886319896
IL-13,"[1.1216216216216217, 1.0740740740740742, 1.0256410256410255, 1.1282051282051282, 0.9743589743589743]",0.38004936416512425,-0.08218771223132622
IL-15,"[1.037037037037037, 1.0454545454545454, 1.05, 1.05, 1.0125]",1.042241467174665,0.0905556014189534
IL-17A,"[1.018181818181818, 1.0185185185185186, 1.2233009708737863, 1.1067961165048543, 1.1067961165048543]",2.2858206193214063,0.055193316627593685
IL-17E/IL-25,"[1.1195652173913044, 1.0869565217391304, 1.0714285714285714, 1.051948051948052, 0.974025974025974]",1.1799038818738778,0.13056021180018101
IL-17F,"[0.9054054054054054, 0.75, 1.0714285714285714, 1.0714285714285714, 1.0714285714285714]",1.1737168841448387,0.0851320998528861
IL-18,"[1.8333333333333333, 1.0, 1.036649214659686, 1.036649214659686, 1.0052356020942408]",0.15052381646308635,-0.03809782858019698
IL-22,"[0.8827433628318584, 1.1343283582089552, 1.0522765598650927, 1.0623946037099494, 1.0421585160202362]",0.4872578959240197,0.24168580748432922
IL-27,"[1.8279569892473118, 0.9090909090909091, 0.9587628865979381, 0.9896907216494845, 0.9278350515463917]",0.34937376270188986,0.04932446586726707
IP-10,"[4.926165454055511, 0.0216787103946637, 1.2110091743119265, 1.2660550458715596, 1.073394495412844]",0.27892914779556505,0.16693046649546134
MCP-1,"[1.0210940293171256, 1.0168815036552834, 33.12407211028632, 38.46871686108166, 17.70731707317073]",0.34608307307910885,0.7652466674216716
MCP-3,"[2.516337386018237, 0.6678200692041523, 0.9917355371900826, 1.140495867768595, 1.0413223140495866]",1.0366009945798944,4.191216488340347
M-CSF,"[1.0163007159904534, 1.072590519503236, 0.9976720832572576, 0.9974895015519445, 0.9745298521088187]",0.3512516585638273,0.34657938258728965
MDC,"[0.808895829718318, 1.823090768835176, 1.10625, 1.1624999999999999, 1.0125]",0.2846925951799106,0.016805128389725657
MIG/CXCL9,"[1.5433287482806053, 1.0659025787965617, 0.8969072164948453, 1.0515463917525771, 0.9896907216494845]",0.4612643060660291,0.24201990802796627
MIP-1α,"[1.2502632218352636, 1.2308578892773445, 0.9873417721518988, 0.9683544303797469, 1.0632911392405064]",0.4139660970158085,0.14987733025194316
MIP-1β,"[1.091838671411625, 1.0242580860286763, 1.0403225806451613, 1.1975806451612903, 1.0887096774193548]",0.7729453100439028,0.13753197154927924
PDGF-AA,"[1.326086956521739, 1.3310810810810811, 1.4, 1.5, 1.2]",1.365159914181683,0.12239698319489023
PDGF-AB/BB,"[1.12, 1.1704545454545454, 1.1003460207612457, 0.9550173010380624, 0.9238754325259516]",2.69196670419467,0.4344906376930959
RANTES,"[2.840270551508845, 1.7219020172910662, 1.078125, 1.125, 1.125]",0.4850778791345824,0.07579090345280216
TGFα,"[1.7127659574468086, 1.0135135135135136, 1.0, 0.9615384615384616, 0.8461538461538461]",0.7914400059339955,0.6581516151025355
TNFα,"[1.33633701284073, 2.480565371024735, 1.069767441860465, 1.069767441860465, 1.0232558139534884]",0.27818099585243194,0.14638719183215076
TNFβ,"[1.2307692307692308, 1.0147058823529411, 1.0138504155124655, 1.0138504155124655, 0.8725761772853186]",0.6463888444706501,0.4812355032272738
VEGF-A,"[0.8, 0.975609756097561, 1.3392857142857142, 1.3642857142857143, 1.0285714285714285]",0.19507479054740715,0.04145386708263442
6CKine,"[2.0652173913043477, 0.8819444444444444, 1.0612244897959184, 0.9387755102040817, 1.0]",0.3932999335763405,0.13953566580801485
BCA-1,"[1.36328125, 0.8916256157635468, 1.3157894736842106, 1.2105263157894737, 1.3157894736842106]",0.3568937345867363,0.25027324036188764
CTACK,"[1.0410958904109588, 0.9361702127659575, 1.0603448275862069, 1.0603448275862069, 1.163793103448276]",1.2035837086105168,0.28617432109511354
ENA-78,"[1.430976430976431, 1.1395348837209303, 1.0575539568345322, 0.9280575539568345, 1.014388489208633]",0.6548064601069834,0.07361429681569356
Eotaxin-2,"[1.0367762128325508, 0.9784768211920529, 0.9285714285714286, 1.0714285714285714, 0.9642857142857143]",0.590984164488624,0.15588166307685536
Eotaxin-3,"[1.588235294117647, 0.5625, 1.2475247524752475, 1.1287128712871288, 1.1287128712871288]",0.054920092124281415,-0.0059159823820109534
I-309,"[0.8450453367875648, 0.8466010733452594, 1.0120481927710843, 1.1204819277108433, 1.1566265060240963]",0.32628909323999683,0.17777387621427948
IL-16,"[1.2567567567567568, 0.6666666666666666, 1.11340206185567, 1.0515463917525771, 1.0515463917525771]",0.01941210088462103,-0.0055497334016042016
IL-20,"[1.1111111111111112, 0.7884615384615384, 1.1311475409836065, 0.9508196721311475, 1.1147540983606556]",0.10293226797378187,0.03981732403429479
IL-21,"[1.046875, 0.8717948717948718, 1.0813953488372092, 0.9767441860465116, 0.8372093023255813]",0.10456660444202465,0.02752040168542181
IL-23,"[1.25, 1.0, 1.218045112781955, 0.9473684210526315, 1.037593984962406]",0.32010126886328555,-0.054686346233429446
IL-28A,"[0.8292682926829268, 0.9152542372881356, 0.9279661016949152, 1.0169491525423728, 1.0169491525423728]",0.6807879296841918,0.12512404980944553
IL-33,"[0.9571428571428572, 0.7439024390243902, 1.1428571428571428, 1.0952380952380953, 1.2380952380952381]",0.7668119720190985,-0.08730815792413227
LIF,"[0.9177215189873418, 1.0277777777777777, 0.9069767441860465, 0.9302325581395349, 1.0232558139534884]",0.15442795691318636,0.05025392542968452
MCP-2,"[1.975096120237679, 0.06489703835261364, 1.1012658227848102, 0.9873417721518988, 1.0632911392405064]",0.6629244753014345,-0.05710212917338105
MCP-4,"[1.9251782908255772, 0.3479119638826185, 1.2439024390243902, 0.951219512195122, 0.7317073170731707]",0.043245710272518424,0.054332248505163945
MIP-1δ,"[1.2, 0.7623762376237624, 0.9696969696969697, 1.0151515151515151, 1.0303030303030303]",0.05184541898409408,0.05656120054598706
SCF,"[1.2116182572614107, 0.8166666666666667, 1.1271676300578035, 0.9364161849710984, 1.0404624277456649]",0.02136689851015492,-0.0064987350079546025
SDF-1α+β,"[1.0925925925925926, 0.75, 0.9044117647058824, 0.838235294117647, 0.7941176470588235]",0.14092670970649082,0.03768616929413059
TARC,"[0.44381568310428454, 0.775438596491228, 1.0975609756097562, 1.0975609756097562, 1.0975609756097562]",0.9710363904104089,-0.19120893518370854
TPO,"[1.0714285714285714, 0.7948717948717948, 0.935064935064935, 0.935064935064935, 0.8571428571428571]",0.30443809203756106,-0.1481811053000262
TRAIL,"[1.0666666666666667, 0.75, 1.0196078431372548, 1.0784313725490196, 0.9803921568627451]",0.81132949509844,-0.12231130965682255
TSLP,"[1.1304347826086956, 0.9230769230769231, 0.9504950495049506, 1.1287128712871288, 0.9504950495049506]",0.1286323183764069,-0.03059034041612788
