gene,pmg,pasef
A2M,4.954098228914426e-05,0.0005930883922945483
AAK1,2.3767187061079047e-05,2.8548064721629716e-06
AARS,3.499121611173535e-05,0.00015475762675731323
ABAT,1.799270300081063e-05,6.972823723460966e-05
ABCE1,1.351329767136284e-06,4.999873074576134e-05
ABCF1,2.5488364380693333e-05,3.2594917235109094e-05
ABHD10,4.144247923562741e-06,0.0003272404088310988
ABHD12,1.739865431572261e-05,0.0007637663779246864
ABHD14B,7.897529061883715e-05,2.0128615946305327e-05
ABI1,3.6908268292638675e-05,0.00011114464733086379
ABR,2.0307627875768204e-05,4.3759710844632145e-05
ACAA1,4.919476338396945e-05,0.0007716311819392801
ACAA2,4.6279205120172416e-05,0.0012160806476147344
ACADM,4.9651075323817736e-05,0.0006640623792695292
ACADVL,2.3238503605913864e-05,0.0007028141468115852
ACAT1,0.00016597749571321054,0.0018191761226293442
ACBD3,1.3106933118507187e-05,2.4653812883060366e-05
ACIN1,8.28542432372923e-05,6.375333388620937e-05
ACLY,7.14990420698314e-05,0.00029840768515819466
ACO1,1.112885197600515e-05,8.173086724195604e-05
ACO2,0.00026919754509295297,0.0033239068160931225
ACOT1,1.2440051185827017e-05,0.0001707806976228661
ACOT2,1.2440051185827017e-05,0.0001707806976228661
ACOT7,2.3989240134843315e-05,1.3961347708667484e-05
ACOT9,3.046971284397424e-06,0.0005323122388832662
ACP1,7.89291173913118e-05,6.477018261421561e-05
ACSL1,4.122498325866673e-05,0.0007700318094810885
ACSL3,1.1166934851055401e-05,0.00046490382537012535
ACSS1,2.748632008634758e-06,0.00015656242320096067
ACTG1,0.023637982325273345,0.013539201418555804
ACTL6A,2.6960246422303396e-05,1.2602321313459145e-05
ACTN1,6.451467892118477e-05,0.0013048678287570976
ACTN2,7.055630521566178e-06,2.8621430430721075e-06
ACTN4,6.930902581298804e-05,0.0019080953620480715
ACTR1A,0.00011114176919778617,0.0002742116742998644
ACTR2,0.00014824456730552074,0.0006360513515384482
ACTR3,0.00017143316367507463,0.002066858756521773
ADAM10,2.8055455303888227e-06,0.0003856395132678208
ADAR,8.50701566521825e-05,1.2981622029461473e-05
ADH5,3.908804613816119e-05,0.00016476470947737463
ADK,1.8237621859858104e-05,5.787233864544601e-06
ADPGK,1.179651684602162e-05,0.0009589778566749752
ADPRHL2,2.0424185162295225e-05,3.723016273550117e-05
ADRBK1,3.39132318515491e-06,3.849498756023621e-06
ADSL,5.5033669134293875e-06,2.551512630779292e-05
ADSS,1.152865190042568e-06,4.619691970064709e-06
AFG3L2,4.876093579839437e-06,0.0006666888716549998
AGA,1.278618978973657e-05,0.00010513306112791782
AGPS,1.6708284262953464e-06,0.0007731131692629256
AHCY,9.669777986204293e-05,0.00035366673724580643
AHCYL1,5.693259330456442e-05,4.699367130137926e-05
AHSA1,4.804364474644632e-05,1.4568228854271208e-05
AIF1,0.00044365686194940596,0.000376527492198674
AIFM1,2.4781793547657685e-05,0.0037900725316596193
AIMP1,2.9666840718573775e-05,3.1850988944922706e-05
AIMP2,8.415753277248593e-06,2.6416057215434816e-05
AIP,3.7536023433820186e-05,3.813109364314306e-05
AK1,9.077977736543597e-05,1.0962744446685448e-05
AK2,0.00012186700693927088,0.0007230777556626186
AK3,3.777510037581989e-05,0.0002227969853686398
AKAP13,1.2153194990996742e-05,8.109992214377036e-06
AKR1A1,0.00013542306503438545,0.0008967490622236842
AKR1B1,0.00020502338368710946,0.0004898188201775509
AKR7A2,3.410493104704454e-05,7.818583617866156e-05
ALAD,8.117735206546973e-06,1.2655438086841289e-05
ALCAM,2.888697490567072e-06,9.44231349147612e-05
ALDH16A1,4.13571591412871e-05,0.00011988250328364469
ALDH1A1,9.322173884203717e-06,0.00010705671002029325
ALDH2,0.00014698403819407888,1.5525651357913445e-05
ALDH3A2,1.665145104246466e-05,0.00015964378298279774
ALDH4A1,3.08404236350538e-05,0.00023450615253962074
ALDH5A1,3.781195865657491e-05,2.69604307768927e-05
ALDH6A1,5.0193108864332634e-05,0.0003485898301766844
ALDH7A1,3.123100898928558e-05,0.0005768598974435396
ALDH9A1,7.680093310871976e-05,0.0005330018765487251
ALDOA,0.0011154708983419344,0.0020379526671397774
ALDOC,0.00020758941061853963,0.00016877047719376283
ALOX5,3.8959423586528637e-05,0.0001458026083056219
ALOX5AP,0.00022188102830344924,0.0005215128065050182
ALYREF,0.0003044046310810275,1.2957704808297689e-05
ANKRD44,1.794855738023314e-05,5.8493012544358905e-06
ANP32A,0.0003320409137802508,7.026380691097658e-05
ANP32B,0.00013764861460110702,0.00011004562900867523
ANP32E,8.158307420820328e-05,1.7986337240837635e-06
ANXA1,0.0001293215139207071,0.0014212845359432664
ANXA11,6.528512941073592e-05,0.0007634875882301393
ANXA2,0.00010221840753244028,0.006794251587532598
ANXA2P2,0.00010221840753244028,0.006794251587532598
ANXA4,7.8956821327827e-05,0.0014855088776818423
ANXA5,0.0008312044193163408,0.0035636659534036847
ANXA6,7.321210896165428e-05,0.004758940085920109
ANXA7,6.280626950274706e-05,0.00046710479664286613
AP1B1,2.618804938023281e-05,0.00041547001058436745
AP2A1,6.854734823666671e-05,0.00015493370445913247
AP2A2,3.9350189618607255e-05,0.00031055337829826915
AP2B1,7.766134109068006e-05,3.6148752183494534e-05
AP2M1,7.751854536572887e-05,0.0003722282616459203
AP3D1,1.5855946558151938e-05,7.004957904042981e-05
AP3S1,5.508947851365059e-06,3.719054525259184e-05
APBB1IP,8.906835664955094e-05,6.503136453858085e-06
APEH,5.1532132462567594e-05,0.00011450039486470257
APEX1,0.00022524585207106787,6.260149225347502e-05
API5,8.428019295517282e-05,1.0481171932209767e-05
APMAP,0.0006140457076697552,0.0007389540951099887
APOA1,3.783163246656397e-05,2.933747975145274e-05
APOA1BP,6.099282602934735e-06,9.223536946965686e-05
APOBR,2.1457662446210305e-05,0.00020988462056856057
APOC3,4.9479230616158194e-05,1.5443481763731123e-05
APOE,6.010248575076084e-05,0.0004894666647739124
APOL2,1.9636349448814967e-05,8.216079029723141e-05
APOO,2.745273408215197e-05,0.00032860501102019814
APOOL,2.3151436959054117e-05,0.00017210128038651056
APP,0.00029557289717440814,4.889677779520912e-06
APPL1,2.923070447162243e-05,1.6413376437918892e-05
APPL2,7.06259665632761e-06,4.557477848755237e-05
APRT,8.280345268701443e-05,6.825798842441883e-05
ARCN1,9.579137933040413e-05,6.600125921276862e-05
ARF1,0.00015499469166339966,0.0005468826687088102
ARF3,0.00015499469166339966,0.0005468826687088102
ARF4,4.51281065579656e-06,7.758130273574876e-05
ARF5,8.549675712388404e-06,2.960893287509077e-05
ARFIP1,1.4962896111862845e-05,6.99189880782472e-06
ARHGAP1,3.427021112626895e-05,0.00030006575018365935
ARHGAP17,1.9210612215714987e-05,3.0115156267821148e-05
ARHGAP25,3.552381425358203e-05,5.035235346358169e-05
ARHGAP4,4.077391097637675e-05,9.743406361587058e-05
ARHGAP9,1.540120049297625e-05,2.3716199120872792e-06
ARHGDIA,0.00031093051415566374,0.000536508757443292
ARHGDIB,0.000697088658880412,0.00037328472785683593
ARHGEF1,2.0842012720766953e-05,3.179082906346779e-05
ARHGEF2,2.244263776590746e-05,1.638403015428235e-05
ARHGEF6,2.8454693119451928e-05,1.193924203469144e-05
ARL3,2.1565386593558565e-05,9.779942484714554e-06
ARL6IP5,0.00024478254764969336,0.0004088964430497817
ARL8A,2.0817781813974306e-05,0.001249139236131301
ARPC1A,9.080968958674586e-06,7.186024474080456e-06
ARPC1B,0.00030561477114851777,0.0008827949043545076
ARPC2,7.770871883718434e-05,0.0008291352247250875
ARPC3,0.00017020636109504257,0.0005460022801997139
ARPC4,0.00014950429340431,0.0003969525056097084
ARPC5,0.0002771088257465127,0.000382734231187803
ARPC5L,4.9166517413913726e-05,5.033034375085428e-05
ARPP19,2.0128415527020925e-05,3.6521449985678637e-06
ARRB1,2.7828363325728798e-05,4.978303556103274e-05
ARRB2,3.729345338678161e-05,5.697140773780412e-05
ARSA,1.3303129184857266e-05,0.00014165010917105097
ASAH1,0.0003166272866664754,0.0020582016028489925
ASNA1,8.463050722487596e-05,0.00021416917797949594
ASPH,6.174103306842107e-06,0.00061412967766195
ATAD3A,2.6828050464366703e-06,0.00028354379249628526
ATCAY,3.133395521135078e-05,9.061105267037417e-06
ATG3,2.2798231843801553e-05,2.2350129617591685e-05
ATIC,5.5522944743531996e-05,0.0003183338117474078
ATOX1,5.382995316802448e-06,0.00010455787396864157
ATP13A1,5.3684005618411765e-06,0.0004051401187443041
ATP1A1,0.0002285265602633251,0.0010003414434606834
ATP1B1,0.00048744995997239974,0.00015218982693911566
ATP1B3,1.657297663098789e-05,0.00010376552431045488
ATP2A2,5.4590225472203744e-05,0.0019491801591392328
ATP2B1,8.89720975153504e-05,0.0002715411624889389
ATP2B4,5.0157455102556546e-05,6.686697458004665e-05
ATP5A1,0.0007639019213690736,0.008309840405941897
ATP5B,0.0008148570892407375,0.012432406331203558
ATP5C1,5.982384036030354e-05,0.0011485988683925022
ATP5D,0.00029806645221393984,0.0005313731578068968
ATP5E,1.4514654449173335e-05,0.0001523218852154801
ATP5EP2,1.4514654449173335e-05,0.0001523218852154801
ATP5F1,9.63838019148706e-05,0.0013333777433099997
ATP5H,0.00013719732149033756,0.0022730163990684923
ATP5I,0.00023369896551197938,0.0004959815397412252
ATP5J,0.00025065497917826446,0.0008408003724706137
ATP5J2,8.716140235275426e-06,0.00035299690832180233
ATP5L,6.585265860297135e-05,0.0004997965566139758
ATP5O,0.00016741769890567495,0.0016747924071375492
ATP6V0A1,8.841861903700409e-05,0.0020869609608128053
ATP6V0D1,8.217981298567757e-05,0.0013222848480953862
ATP6V1A,0.00016006872786210864,0.0026003741930341376
ATP6V1B2,0.00014816948562250127,0.002662148120089062
ATP6V1C1,5.766985929624626e-05,0.0008668451991980462
ATP6V1D,2.6442724843009553e-05,0.000306037718903696
ATP6V1E1,0.000162595808679887,0.001268140954785963
ATP6V1F,7.576986486276253e-05,0.0002989359182636524
ATP6V1G1,7.44272277075908e-05,0.0010181546376280654
ATP6V1H,6.414105720923948e-05,0.0008280200659468988
ATP8A1,6.0995235067305195e-06,4.616023684610142e-05
ATXN10,8.909003799117154e-06,7.764879918811281e-07
ATXN2L,3.793210942472238e-06,1.7358326771015601e-06
B2M,0.000256548891295293,0.00013739196341538848
BAG6,2.3103336501162498e-05,4.2965893872263635e-05
BAIAP2,8.993219751060119e-06,9.970986791188455e-06
BANF1,0.00015966360797886454,0.0008503379146524903
BASP1,0.0021878079720486715,2.5315571579064425e-06
BAX,8.11536631922176e-05,0.00026624415829254276
BAZ1B,0.0002855988777694445,2.3000149800141126e-05
BCAP31,0.00022316364026283805,0.0014979810482273733
BCAS2,0.00011977616274502542,4.975222196321437e-06
BCKDK,7.84442985022957e-05,7.397317716263571e-05
BCL2L13,1.4229665258760388e-05,3.394337896820827e-05
BCLAF1,8.600807543043643e-05,2.48122828146977e-06
BID,6.942024306537517e-05,5.095101764976718e-05
BIN1,0.00040179741839390846,4.700100787228839e-05
BLOC1S1,1.0712329313093921e-05,2.4790273101970293e-05
BLVRB,0.00022865162948396985,0.0005044919619958228
BMP2K,1.6626838704662022e-05,2.8548064721629716e-06
BOLA2,5.2295757344571516e-05,1.5092793674274426e-05
BOP1,1.17842106771203e-05,9.052888307619185e-06
BRI3BP,1.8364357331757014e-05,6.068664724619055e-05
BRIX1,3.2610343822681797e-06,7.78909060281143e-06
BRK1,8.489710742554404e-05,4.4720801633728946e-05
BROX,3.7306120911376606e-05,2.6756474105618723e-05
BSG,6.829120727579894e-05,0.0003836733122641724
BST2,1.3730713347058263e-05,9.773339570896332e-06
BTF3,1.1693470247374841e-06,3.661535809331558e-05
BTF3L4,1.3267595874979066e-05,6.703718302513861e-05
BTK,1.0543254999085902e-05,2.2152042203045014e-05
BUB3,2.9681957431759243e-05,1.3351385203281923e-05
BZW1,1.0355751544700376e-05,1.0544706636282884e-05
C14orf166,9.087668091729025e-05,5.7669849288353856e-05
C1QB,1.5949236553069446e-05,0.00010441114255045884
C1QBP,0.00013211405064612354,0.0010694519414247438
C1QC,4.313001032509714e-05,0.0003450389298566626
C1orf123,4.7706178679185e-05,2.0910694405219217e-05
C20orf27,9.987670620058127e-06,7.4137516351000355e-06
C2CD5,1.2792192309314866e-06,1.5161757440820304e-06
C3,9.711594870089202e-05,6.0262593447642495e-05
C4A,2.9281254118104526e-05,1.6213821709190396e-06
C4B,2.9281254118104526e-05,1.6213821709190396e-06
CA2,0.00018955834368825038,0.0001872439627429671
CAB39,2.928446616871498e-05,6.627711427895212e-05
CACYBP,5.28870155606917e-05,3.5783390952219565e-05
CALR,0.00029709420464478666,0.008296928041141818
CALU,6.415288157054923e-05,0.0007093370920068979
CAMK2B,5.475743278179443e-05,3.467556874494004e-06
CAMK2D,3.3168156561820574e-05,6.683616098222829e-05
CAMK2G,8.032776467900339e-06,3.467556874494004e-06
CAND1,8.578664469147795e-05,0.00019367079885937018
CANX,0.00045335866006513325,0.005320921417559922
CAP1,0.0005458851907031694,0.0006401104561253459
CAPG,0.0009427368541696239,0.003784350006350493
CAPN1,4.409380618608159e-05,0.00019242358180481705
CAPNS1,0.00011293529795740104,4.6433157283921273e-05
CAPRIN1,4.445759099303235e-05,4.548380500827908e-05
CAPZA1,0.00045929111678948733,0.0007331288578081348
CAPZA2,0.00011906730332592983,0.000645750298280326
CAPZB,0.00025297488273166825,0.0009144742175401567
CARKD,5.988908513832849e-06,2.4669953339060462e-05
CARS,1.4361780915431817e-05,5.5129928439611e-05
CASP1,8.563547755962322e-05,0.00021999441528134988
CAST,5.361916234671313e-05,5.631111635598188e-06
CAT,0.0001684015901582911,0.0006129998457419432
CBFB,3.467767982152195e-05,3.441585413475663e-05
CBR1,0.00010813047175048116,0.000303176456249133
CBX1,0.00018099824888669427,1.5196972981184157e-05
CBX3,0.00017489053465090707,5.88378313770883e-05
CCAR1,4.091429766337011e-05,1.7757436228472595e-05
CCAR2,8.509946661400294e-05,2.932720855217995e-05
CCDC124,5.668446239490648e-06,4.582715652682664e-06
CCDC47,1.5591594792911186e-05,0.0004209871119080377
CCDC6,5.236284905169748e-06,1.8351698472112604e-06
CCS,5.38472179400557e-06,4.2728188974807634e-06
CCT2,0.00010388634912824946,0.0006074387249928181
CCT3,0.006146218692480062,0.0004971260448030503
CCT4,7.854688336866723e-05,0.00042579990242443084
CCT5,8.011857988299727e-05,0.0003954705182860629
CCT6A,8.264766823240719e-05,0.00025874618282340585
CCT7,9.86603427850332e-05,0.0003116135127946393
CCT8,0.00014862439229020749,0.0005668087952980233
CD14,2.1568317589740606e-05,0.0013270536191863245
CD163,4.78457021275768e-06,0.002006845606485041
CD2AP,3.906692690539743e-05,1.4014317750631445e-05
CD300A,5.0246107699405205e-06,4.765836462574697e-05
CD47,0.00015337601890889167,0.00011062228348213332
CD74,0.0001518346361221978,9.732254773805171e-05
CD81,5.185976162483439e-05,0.0002224888493904561
CD84,7.5162586544222685e-06,8.97820201576418e-05
CD9,4.347540614230303e-05,0.0002822672291580956
CD99,2.5347415584843143e-05,2.6367635847434516e-05
CDC37,0.00010824831385725236,6.122515155092113e-05
CDC42,0.00015039403142340707,0.0009229259472274812
CDK5RAP3,1.056666281790962e-05,3.25142149551086e-05
CDS2,4.1714700524863785e-05,0.00016197681253190296
CDV3,0.00010778618007567262,4.849766833775212e-06
CEBPB,5.347462006924249e-07,8.416220684124368e-06
CELF2,5.238507242685859e-05,4.248754944898798e-06
CERS2,3.4869619920813177e-06,0.00012396750596585157
CETN2,1.990481665390037e-05,4.2748731373353215e-06
CFL1,0.0025794392502604784,0.002552833213542937
CFL2,6.364597983358623e-06,3.942966669406012e-06
CHCHD2,5.6143231867044195e-05,0.00015145616984820205
CHCHD2P9,5.6143231867044195e-05,0.00015145616984820205
CHCHD3,8.707467698627186e-05,0.0005877033492472424
CHCHD6,4.073986323990589e-05,4.4323159490453785e-05
CHD4,4.7554810794167136e-05,1.933479897393682e-05
CHID1,3.978245132950973e-06,0.0002643366498561674
CHMP1A,2.130416657766301e-05,8.278293151032613e-06
CHMP2A,1.7261319076809187e-05,5.216742110650191e-06
CHMP4A,4.9474613293405665e-05,1.6234364107735977e-05
CHMP4B,9.725687742142591e-05,0.00016181540797190197
CHMP5,3.5082619026919216e-05,3.803278359296064e-05
CHORDC1,9.017832088862758e-06,2.9286123755088788e-05
CHP1,1.3009146252735034e-05,0.00015243927035002626
CIRBP,0.00016946578267616869,6.831521367751009e-06
CISD1,0.00013798686360570462,0.0003683398790640783
CISD2,3.0404568442530872e-05,0.00019286377605936522
CKAP4,2.828824867188122e-05,0.00025366927575428376
CKAP5,1.0845669564060587e-05,1.1008377917740274e-05
CKB,0.0011378894055776307,5.89948339945438e-06
CLCC1,9.239162451239676e-06,7.503257800191494e-05
CLIC1,0.00023293429671352706,0.0009209303999401962
CLIC4,2.0441590461540647e-05,8.806966450744949e-05
CLINT1,2.6754875936397192e-05,1.2601881119204597e-05
CLIP1,2.123787788318967e-06,1.091094825606695e-05
CLNS1A,1.0749930380552602e-06,5.229801206868453e-06
CLTA,0.00021055051977505624,0.0002046022895139827
CLTB,0.00015202755991198846,4.2377500885350934e-05
CLTC,0.00027131769924901885,0.0036169294582040113
CMAS,2.9124184843253094e-05,8.19715067677757e-06
CMPK1,6.495669723581652e-05,7.097985623170826e-05
CNDP2,0.0003855313933493825,0.0020036175152850213
CNP,0.0003951813168477508,9.686181108495798e-05
CNPY2,4.111806212397108e-05,0.00020445555809579997
CNPY3,0.00011366282742066993,0.00011747317339708444
CNRIP1,7.059063400656105e-05,1.0333853588354317e-05
COA6,1.0341678747963304e-05,4.609567502210102e-05
COLGALT1,3.4471727151442603e-06,0.0009507902435403795
COPA,3.237692811988303e-05,0.0006572393683240327
COPB1,5.1296448249025197e-05,0.00018821239010297303
COPB2,3.877354623276466e-05,0.0003805332599150622
COPE,1.8122791050534206e-06,6.703865033932043e-05
COPG1,6.565451523093868e-05,0.0001783226925174578
COPS2,9.83158503570615e-06,4.363205451081318e-05
COPS3,2.9831779517420827e-05,5.0830697886857346e-05
COPS4,2.1818857537356385e-05,5.4805652005427196e-05
COPS7A,5.009152776377689e-06,1.3740663655720676e-05
COPS8,1.522423657965629e-05,1.0475009212646092e-05
COPZ1,3.372693291614249e-05,1.0350434238608964e-05
CORO1A,0.0007529448137241464,0.0005850475105781352
CORO1B,0.00011123833146926311,0.0001941256662557366
CORO1C,7.205131402166714e-05,0.0002514096119142699
CORO7,4.6564696193493246e-05,0.000230148229419594
COTL1,0.0010338546998618107,0.0001651462111646497
COX4I1,0.0005817866818825923,0.0012325879321602904
COX5A,0.0006096094642703855,0.0007956511150957912
COX5B,0.000789104473471385,0.0007469216111173103
COX6B1,7.230018771802874e-05,0.0010823643062248232
COX6C,0.00018162981833797572,0.0005198253951959169
COX7A2,0.00017015316150680683,0.0005201482043159189
COX7A2L,2.8023937057273104e-05,0.00010177144433735174
CPM,5.547372006792672e-06,4.159248779807339e-05
CPNE1,3.4370949063539466e-05,4.853581850647963e-05
CPNE2,1.965092412845993e-06,5.330458959741798e-06
CPNE3,1.2674008922166302e-05,0.0003346796917329627
CPPED1,5.760732468592389e-05,5.288347042723358e-05
CPSF6,5.253248547456233e-05,9.425292646966924e-06
CPVL,2.6011366521341268e-05,0.0006005130020545938
CRAT,7.300870585674698e-06,0.00011418052037306424
CREB1,4.02900757778601e-05,2.1703044063405897e-05
CRK,1.0392328771026975e-05,7.957244808048824e-06
CRKL,2.9297595425585235e-05,8.841741796854252e-06
CROCC,5.110657590731446e-05,4.384041312463264e-06
CRYBB1,1.3934116451965559e-05,2.252327269104729e-05
CRYL1,5.544059579600636e-05,1.4561039014780254e-05
CRYZ,3.657274953105994e-05,0.0001409546022488649
CS,0.002974246443513376,0.001126721213941459
CSDE1,2.1428051354645138e-05,1.2657198863859481e-05
CSE1L,0.0042451866139964056,9.280322005802398e-05
CSK,9.413355970908114e-05,9.566888465513247e-05
CSNK2A1,2.6629063929048787e-05,0.00014476961912161557
CSNK2A3,2.6629063929048787e-05,0.00014476961912161557
CSNK2B,1.723184851245823e-05,9.58376257860426e-05
CST3,2.2899311061449424e-05,4.03570092569749e-05
CSTB,0.00013839461335538603,0.0012947140146188534
CSTF2,5.806002306883541e-05,7.605529598664849e-06
CTNNBL1,6.143829729838534e-06,3.90672400911488e-06
CTNND1,3.507762027315669e-05,4.442293685481803e-05
CTSB,0.0009359694650397138,0.004932816816466631
CTSD,0.000602508423383314,0.010129603454243973
CTSH,6.884171259979893e-05,6.835042921787394e-05
CTSL,3.515007208973885e-05,0.00023545990675780842
CTSS,3.5867242689789015e-05,0.0005606020563088944
CTSZ,0.00017681977254881384,0.0016278383533190792
CUL4B,3.1906302479501886e-06,9.815744950751137e-06
CYB5A,9.864849834840713e-06,3.4520033441666355e-05
CYB5B,8.14521831458271e-05,0.0005931764311454578
CYB5R1,9.469647157856403e-06,0.0011396189055997198
CYB5R3,3.949491257392474e-05,0.0013093431370116704
CYBA,0.000260618358665581,0.000638736536491192
CYBB,0.00011920943656544261,0.0037123048800227786
CYC1,6.523755091106851e-05,0.0005566403080179609
CYCS,0.00010086991239996771,0.0004800905271520367
CYFIP1,0.00012796307749159515,0.00039833178094062595
CYFIP2,2.3669701325051625e-05,6.56711135218575e-06
CYTH4,1.939998267451784e-05,3.2122442068560737e-06
DAK,2.9564035023722783e-05,1.389047643368523e-05
DARS,2.9824853533292026e-05,0.00018174153456111515
DAZAP1,7.015941621210698e-05,6.550237239094737e-06
DBI,0.00015406942033442442,0.0005831106558581234
DBNL,0.0001046106665409079,0.00014714226615363012
DCTN1,4.1602941238936136e-05,0.00015911554987733996
DCTN2,6.173882478362638e-05,0.0001607589417609864
DCTN4,1.2017526003337492e-05,2.165902463795108e-05
DCXR,3.395338248417984e-06,0.00028684524940539644
DDAH2,0.00015182459846404013,4.508763017918575e-05
DDB1,5.792130263309623e-05,5.9659527318911524e-05
DDI2,1.671691664896907e-05,2.173239034704244e-06
DDOST,6.324427275411574e-05,0.000897658797016417
DDRGK1,5.1136648731154875e-05,8.620030623980165e-05
DDT,4.2961899626272265e-05,8.122757847758932e-05
DDTL,4.2961899626272265e-05,8.122757847758932e-05
DDX1,0.00029439829041679605,4.7548316062109935e-05
DDX17,0.00029026237374950417,0.00013425044375209647
DDX18,1.5039182313861239e-05,2.7004450202347516e-05
DDX19A,5.1255293850578686e-05,2.6865055355073933e-05
DDX19B,2.089298394889167e-05,2.6865055355073933e-05
DDX27,3.6297175663998903e-06,7.691074015465374e-06
DDX39B,0.00022131249534539804,0.00016916665202285617
DDX3X,4.972738160113244e-05,0.00010810730697448152
DDX3Y,4.972738160113244e-05,0.00010810730697448152
DDX41,6.866159686181746e-07,2.2931186033595248e-06
DDX5,0.00017153354025665145,3.9708456388607285e-05
DDX6,3.708392731039813e-05,4.774787079083843e-05
DECR1,7.824816266189456e-05,0.0012249138789893342
DEF6,2.3805972572200336e-05,5.97989221661851e-06
DEK,0.00014167431778182752,7.389394219681705e-05
DENND3,3.1687883037990694e-06,2.6790222331800746e-05
DENR,4.314538801739472e-05,2.8291284739809958e-05
DERA,1.3690924070121204e-05,7.817116303684328e-05
DFNA5,1.3138290762591789e-05,3.588903757331112e-05
DHRS7,0.00011750443995077853,0.0004341342469772093
DHX15,5.3795423623962056e-05,2.4931135263425703e-05
DHX9,0.0002545232918790725,0.00011549083193743591
DIABLO,6.626681237855736e-06,7.75504891379304e-05
DIAPH1,2.8478843724979316e-06,5.1802059875226945e-05
DIAPH2,5.3815900446603725e-06,3.4241243747119195e-05
DIP2B,2.2932836839696087e-05,1.171855798174463e-05
DKC1,0.0001018788174967128,1.1424508219706464e-05
DLAT,6.139937126004984e-05,0.0008971012176273227
DLD,7.995301874934446e-05,0.0018545383944113794
DLST,0.0002068899865981123,0.0007238701053208053
DNAJA1,4.254320882919897e-05,3.934309515733232e-05
DNAJA2,1.7908025316592415e-05,3.3714477955843234e-05
DNAJB1,5.3165058691659534e-05,4.419110121408933e-05
DNAJB11,2.1939951845370678e-05,0.0006578262939967637
DNAJC5,7.865067275401767e-06,0.00039912413059881263
DNAJC7,6.16087367339028e-06,1.1241387409814432e-05
DNAJC9,1.9989153057741226e-05,1.2876709065460828e-05
DNASE2,8.315196017824921e-05,0.0002526274826851865
DNM1L,4.500566720375818e-05,7.384992277136223e-05
DNM2,7.510778093068173e-05,0.00022075624480455454
DNPEP,3.460446514291981e-05,3.9120063401694585e-05
DNPH1,6.724829459321564e-05,2.781000568817064e-05
DOCK10,1.7933962625271865e-05,2.6978038547074625e-05
DOCK11,4.556735447894582e-06,0.00016830093665557813
DOCK2,1.8749241296155226e-05,0.0003987279557697193
DOCK4,6.250768932318861e-05,3.172039798274009e-06
DOCK8,1.2071066871950575e-05,3.522874619148889e-05
DOK3,3.951685489465744e-06,1.807290877756544e-05
DPP3,3.7617669745274786e-05,0.0002456430671796891
DPP7,0.0006813160851109177,0.0002933601243727091
DPY30,0.00013127048585455186,3.7074627432227486e-06
DPYD,1.576996397837322e-06,8.51775882550681e-06
DPYSL2,0.0008143813042440634,0.001222096635760226
DR1,8.527231508747825e-05,3.317890827947631e-06
DRAP1,5.836496712366584e-05,1.4254517082196555e-05
DUSP3,2.783926422248804e-05,0.00014897640888091412
DUT,6.0930391795606566e-05,0.00010127842677225781
DYNC1H1,7.308720034354007e-05,0.000965932925896836
DYNC1I2,4.440680044275447e-05,3.932988932969587e-05
DYNC1LI1,2.040232314282779e-05,4.777721707447498e-05
DYNC1LI2,2.4114389656753315e-05,3.557209771003645e-06
DYNLL1,2.3872401793887886e-05,4.4656239809728554e-05
DYNLL2,2.3872401793887886e-05,6.672611241859124e-05
DYNLRB1,4.7146478860312574e-05,5.5910539584343066e-05
EBNA1BP2,8.853856905198842e-06,4.058591026933994e-06
